#{"t_start": 1694254663.1472363, "env_id": null}
r,l,t
22.696029,74,3862.577977
25.279287,82,3878.949224
22.787252,69,3892.710586
14.574207,52,3903.084524
21.903937,92,3921.446327
21.669843,87,3940.183378
22.60936,73,3954.618571
29.519254,103,3975.1389
12.632376,103,3995.680011
21.956558,103,4016.36855
23.90895,90,4035.922645
18.926099,93,4054.488357
11.888283,103,4075.058418
26.341122,83,4091.672441
24.426243,75,4106.530702
17.081116,63,4119.042349
11.533533,55,4130.004395
26.051693,87,4149.028485
24.557419,70,4163.031421
15.775646,103,4183.538486
10.168587,46,4192.773484
18.417268,103,4213.181758
26.067761,96,4232.496473
25.973184,80,4249.345883
21.027873,83,4266.026301
14.6727,103,4286.370353
23.834471,86,4303.496873
25.883417,78,4319.091264
26.640057,81,4335.275902
25.200023,84,4353.182299
12.070621,81,4369.340807
26.344504,85,4386.181815
25.851551,83,4402.672494
19.653843,103,4423.193825
10.137558,59,4434.914468
23.266835,90,4454.04569
15.591465,103,4474.572945
23.835525,81,4490.647502
17.984283,60,4502.646576
27.22333,87,4519.953969
23.009208,82,4536.346044
23.68238,59,4548.160658
13.940466,103,4570.412725
26.394333,68,4584.011831
26.350266,84,4600.658101
23.726007,63,4613.282919
24.656174,80,4629.230274
21.438832,71,4643.297625
24.595534,84,4661.74908
23.496614,84,4678.513551
26.176006,73,4693.113375
25.490366,83,4709.598175
10.459499,50,4719.610752
18.336151,103,4740.21636
24.439575,82,4756.577654
21.664035,103,4778.684166
26.484531,74,4793.389421
14.46008,70,4807.377988
26.038618,84,4824.206763
27.432566,90,4842.110922
18.036084,103,4864.289792
17.403912,103,4884.88716
25.145519,91,4902.989687
27.700124,90,4920.931884
17.891741,103,4941.438106
27.141457,94,4960.341909
22.903657,73,4976.49632
15.315766,103,4996.982363
22.165537,67,5010.341359
23.448801,78,5025.871915
22.684004,80,5041.914072
25.997566,89,5059.727274
23.473594,72,5075.535682
23.954488,92,5093.824754
29.092204,101,5114.14192
24.993756,97,5133.364681
23.246089,102,5153.609681
23.492888,85,5170.499135
26.424103,93,5190.4076
28.460947,102,5210.714042
19.160015,103,5231.249924
24.263051,82,5247.625653
20.379195,84,5264.450953
11.64428,103,5286.610065
10.153114,70,5300.572024
10.206197,103,5321.099514
26.279578,95,5340.195775
29.420055,101,5360.255243
26.175314,85,5377.149475
20.102133,73,5393.330361
27.64141,98,5412.851032
26.782996,95,5431.782653
26.182421,99,5451.525672
20.52687,103,5472.114988
23.105265,94,5492.349995
14.695181,103,5512.869684
16.618457,103,5533.473507
26.574067,79,5549.198134
20.119751,103,5569.704735
24.187553,93,5589.61671
28.616129,92,5607.962852
20.558726,103,5628.448338
24.193531,87,5645.84527
26.947489,94,5664.584515
15.836841,103,5685.080507
9.850182,58,5698.135425
20.435231,103,5718.641024
19.946006,103,5739.124278
16.721777,103,5759.637846
13.220159,103,5780.172689
20.717979,103,5801.711746
14.942346,103,5822.210263
23.633214,102,5842.49734
15.884156,103,5863.071117
23.0234,98,5882.591514
21.057567,80,5899.624302
10.712931,52,5909.961935
21.385491,72,5924.275067
25.115434,98,5943.865075
24.377053,76,5958.967312
24.132929,86,5976.06097
21.495679,82,5992.400728
25.843481,84,6010.897563
23.360031,89,6028.631709
18.27002,103,6049.128352
26.791087,93,6067.754938
27.004625,92,6086.142788
26.285999,58,6097.648872
19.931348,103,6119.917414
27.720236,92,6138.307862
17.903117,103,6158.775389
26.919765,90,6176.614307
10.514098,39,6184.414482
17.102036,103,6204.950103
25.285613,80,6222.089519
26.523639,94,6240.711143
24.949508,76,6255.882764
10.804396,39,6263.679724
25.678605,81,6279.733281
23.138344,75,6294.685307
26.685381,70,6308.639557
26.498674,100,6330.381173
25.503375,95,6349.321416
10.057572,58,6360.872478
26.028297,95,6379.833906
24.965682,72,6394.233775
27.763063,76,6409.288569
30.060125,87,6428.2811
10.550427,103,6448.799594
24.514235,75,6463.820345
25.115047,101,6484.035696
25.171048,82,6500.263633
24.570619,97,6520.62454
24.387099,74,6535.420241
23.542632,64,6548.257834
27.991188,76,6563.453952
29.261716,88,6580.765081
23.832076,102,6601.067315
26.818265,82,6617.505426
19.355668,103,6639.513241
27.068801,76,6654.701654
19.076468,103,6675.266791
25.539452,80,6691.176463
24.078811,83,6707.769964
25.10067,67,6721.063874
26.337909,100,6742.662821
26.103432,98,6762.177458
29.439037,97,6781.459578
26.332864,87,6798.870531
25.022268,80,6814.873149
24.569491,63,6827.458867
27.008893,80,6845.024129
27.226413,73,6859.611148
25.24165,100,6879.469358
18.564434,103,6899.977453
27.369711,97,6919.223061
26.501082,83,6937.49194
22.97688,93,6955.994313
18.879659,103,6976.496716
28.351596,69,6990.238552
23.98715,76,7005.386813
22.294144,84,7022.165975
14.900198,56,7033.307083
24.147979,78,7050.440155
27.22787,100,7070.417961
25.436482,80,7086.439142
22.298839,103,7106.925693
28.855882,97,7126.186762
23.789217,92,7146.049776
26.405832,101,7166.17505
23.40369,87,7183.553893
